[ 2026-04-01 11:56:48,617 ] 17 root - INFO - Initiate the data ingestion
[ 2026-04-01 11:56:55,629 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-04-01 11:56:55,629 ] 63 root - INFO - Perfomed train test split on the dataframe
[ 2026-04-01 11:56:55,629 ] 64 root - INFO - Exited the split_data_as_train_test method of DataIngestion class
[ 2026-04-01 11:56:55,630 ] 70 root - INFO - Exporting train and test file path
[ 2026-04-01 11:56:55,767 ] 75 root - INFO - Exported train and test file path
[ 2026-04-01 11:56:55,769 ] 19 root - INFO - Data initiation completed
[ 2026-04-01 11:56:55,789 ] 24 root - INFO - Initiate the data validation
[ 2026-04-01 11:56:55,954 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 11:56:55,954 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 11:56:55,954 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 11:56:55,954 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 11:56:56,289 ] 26 root - INFO - data validation completed
[ 2026-04-01 11:56:56,293 ] 30 root - INFO - data transformation started
[ 2026-04-01 11:56:56,293 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-01 11:56:56,294 ] 65 root - INFO - Starting data transformation
[ 2026-04-01 11:56:56,389 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-01 11:56:56,389 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-01 11:56:56,423 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 11:56:56,430 ] 34 root - INFO - data transformation completed
[ 2026-04-01 11:56:56,430 ] 36 root - INFO - model trainer started
[ 2026-04-01 12:06:33,672 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 12:06:33,674 ] 103 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_01_2026_11_56_45\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911147011308562, precision_score=0.9885196374622357, recall_score=0.9937234257946953), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9761036857027137, precision_score=0.9632294164668266, recall_score=0.9893267651888341))
[ 2026-04-01 12:06:33,680 ] 41 root - INFO - model training artifact created
