[ 2026-04-01 15:03:09,365 ] 17 root - INFO - Initiate the data ingestion
[ 2026-04-01 15:03:17,351 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-04-01 15:03:17,353 ] 63 root - INFO - Perfomed train test split on the dataframe
[ 2026-04-01 15:03:17,353 ] 64 root - INFO - Exited the split_data_as_train_test method of DataIngestion class
[ 2026-04-01 15:03:17,353 ] 70 root - INFO - Exporting train and test file path
[ 2026-04-01 15:03:17,613 ] 75 root - INFO - Exported train and test file path
[ 2026-04-01 15:03:17,613 ] 19 root - INFO - Data initiation completed
[ 2026-04-01 15:03:17,675 ] 24 root - INFO - Initiate the data validation
[ 2026-04-01 15:03:17,855 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 15:03:17,856 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 15:03:17,856 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 15:03:17,856 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 15:03:18,528 ] 26 root - INFO - data validation completed
[ 2026-04-01 15:03:18,529 ] 30 root - INFO - data transformation started
[ 2026-04-01 15:03:18,529 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-01 15:03:18,529 ] 65 root - INFO - Starting data transformation
[ 2026-04-01 15:03:18,607 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-01 15:03:18,608 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-01 15:03:18,639 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 15:03:18,651 ] 34 root - INFO - data transformation completed
[ 2026-04-01 15:03:18,651 ] 36 root - INFO - model trainer started
[ 2026-04-01 15:10:21,556 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 15:10:21,558 ] 121 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_01_2026_15_03_03\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912094574113368, precision_score=0.9905088852988692, recall_score=0.9919110212335692), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.975809758097581, precision_score=0.9698451507742462, recall_score=0.9818481848184818))
[ 2026-04-01 15:10:21,566 ] 41 root - INFO - model training artifact created
